"filename", "language", "JavaScript", "JSON", "Ignore", "YAML", "Markdown", "JSON with Comments", "TypeScript JSX", "TypeScript", "Less", "HTML", "CSV", "XML", "Shell Script", "CSS", "Docker", "comment", "blank", "total"
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\AjustLayout\index.md", "Markdown", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\AjustLayout\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 20
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\AjustLayout\registerMeta.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\AnalysisHistory\Component.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 262, 0, 0, 0, 0, 0, 0, 0, 0, 45, 20, 327
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\AnalysisHistory\ConfigurePanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 15, 8, 96
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\AnalysisHistory\FlowGraph.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 41, 15, 177
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\AnalysisHistory\ParamterizePanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 284, 0, 0, 0, 0, 0, 0, 0, 0, 63, 20, 367
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\AnalysisHistory\TemplateDrawer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 350, 0, 0, 0, 0, 0, 0, 0, 0, 54, 19, 423
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\AnalysisHistory\TemplateModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 329, 0, 0, 0, 0, 0, 0, 0, 0, 60, 18, 407
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\AnalysisHistory\flowNodeRegistry.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 213, 0, 0, 0, 0, 0, 0, 0, 0, 36, 8, 257
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\AnalysisHistory\index.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 141, 0, 0, 0, 0, 0, 0, 0, 7, 148
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\AnalysisHistory\index.md", "Markdown", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\AnalysisHistory\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 11
